cpu_usage,memory_usage,disk_usage,process_count,threat
66,35,50,589,Suspicious
33,27,24,557,Suspicious
87,40,44,331,Suspicious
51,65,66,171,Normal
20,21,82,551,Suspicious
13,23,28,215,Normal
28,37,63,539,Suspicious
35,42,100,76,Normal
35,100,55,415,Suspicious
33,16,41,564,Suspicious
46,60,86,569,Suspicious
49,25,42,257,Normal
79,94,86,92,Suspicious
9,72,24,582,Suspicious
80,34,92,163,Suspicious
48,32,84,127,Normal
71,14,84,415,Suspicious
81,11,32,549,Suspicious
44,93,81,483,Suspicious
13,16,46,474,Suspicious
5,78,64,362,Suspicious
96,40,36,98,Suspicious
62,12,94,144,Normal
22,73,39,542,Suspicious
5,40,70,506,Suspicious
63,86,62,307,Suspicious
52,86,25,531,Suspicious
21,33,20,150,Normal
56,55,39,378,Suspicious
70,39,54,150,Normal
18,81,48,417,Suspicious
11,50,28,557,Suspicious
83,67,45,169,Suspicious
80,41,59,201,Suspicious
76,77,66,87,Suspicious
69,29,60,313,Suspicious
53,91,81,59,Suspicious
91,18,58,490,Suspicious
44,42,26,393,Suspicious
36,48,72,469,Suspicious
73,51,33,508,Suspicious
59,27,47,528,Suspicious
20,23,51,291,Normal
16,80,95,594,Suspicious
54,59,78,297,Normal
50,98,41,229,Suspicious
69,88,94,276,Suspicious
46,49,100,209,Normal
40,72,63,394,Suspicious
51,72,69,290,Normal
73,91,76,381,Suspicious
36,74,61,385,Suspicious
34,77,82,454,Suspicious
13,55,69,500,Suspicious
16,70,88,389,Suspicious
71,13,47,537,Suspicious
68,31,90,281,Normal
70,69,56,516,Suspicious
30,56,46,232,Normal
11,58,85,299,Normal
10,34,27,363,Suspicious
33,16,62,326,Suspicious
89,73,28,445,Suspicious
62,30,24,306,Suspicious
82,27,34,114,Suspicious
96,36,81,223,Suspicious
19,60,30,361,Suspicious
17,30,49,555,Suspicious
45,81,77,428,Suspicious
19,43,95,353,Suspicious
88,51,88,388,Suspicious
49,20,83,511,Suspicious
83,36,71,376,Suspicious
31,64,60,208,Normal
96,55,28,574,Suspicious
74,76,34,497,Suspicious
39,64,47,143,Normal
38,52,75,315,Suspicious
81,76,38,193,Suspicious
84,17,39,310,Suspicious
19,76,85,470,Suspicious
15,80,23,517,Suspicious
39,66,51,264,Normal
32,73,62,423,Suspicious
37,71,49,556,Suspicious
14,76,74,319,Suspicious
13,68,60,487,Suspicious
50,25,94,62,Normal
60,29,84,91,Normal
75,17,54,550,Suspicious
5,79,34,281,Suspicious
19,40,74,392,Suspicious
81,82,98,483,Suspicious
4,26,52,372,Suspicious
74,10,66,397,Suspicious
2,60,56,333,Suspicious
5,54,47,400,Suspicious
100,29,94,410,Suspicious
68,80,39,283,Suspicious
54,21,63,589,Suspicious
47,100,36,433,Suspicious
63,20,38,95,Normal
19,34,99,183,Normal
10,15,88,423,Suspicious
9,83,91,387,Suspicious
25,71,66,274,Normal
63,67,33,241,Normal
26,30,25,353,Suspicious
24,13,73,449,Suspicious
92,94,20,576,Malware
20,93,48,378,Suspicious
36,25,22,355,Suspicious
24,61,76,426,Suspicious
91,24,98,361,Suspicious
50,89,64,460,Suspicious
43,53,79,302,Suspicious
95,68,82,212,Suspicious
18,99,87,127,Suspicious
34,69,41,573,Suspicious
92,42,86,422,Suspicious
26,19,25,229,Normal
8,60,37,89,Normal
4,60,51,394,Suspicious
18,28,65,376,Suspicious
78,22,81,586,Suspicious
67,70,85,573,Suspicious
93,63,74,142,Suspicious
1,37,33,394,Suspicious
89,16,25,536,Suspicious
6,61,31,77,Normal
58,19,80,69,Normal
62,26,33,257,Normal
44,54,42,280,Normal
14,15,54,577,Suspicious
23,20,36,480,Suspicious
82,31,37,445,Suspicious
73,72,52,63,Normal
2,11,24,135,Normal
51,78,95,347,Suspicious
29,96,58,107,Suspicious
66,15,89,195,Normal
77,27,90,144,Suspicious
21,33,41,289,Normal
89,10,46,469,Suspicious
5,35,40,506,Suspicious
38,40,99,368,Suspicious
1,94,29,384,Suspicious
18,83,37,400,Suspicious
28,81,58,274,Suspicious
15,42,68,216,Normal
59,50,20,383,Suspicious
65,88,45,439,Suspicious
60,97,91,118,Suspicious
14,42,55,79,Normal
16,62,59,439,Suspicious
21,12,29,563,Suspicious
59,92,43,519,Suspicious
54,29,76,497,Suspicious
14,97,89,109,Suspicious
51,69,91,505,Suspicious
56,86,53,395,Suspicious
1,71,48,560,Suspicious
22,96,43,399,Suspicious
19,87,21,226,Suspicious
50,31,80,284,Normal
95,82,62,353,Suspicious
57,62,70,129,Normal
20,44,69,62,Normal
75,100,54,516,Suspicious
1,12,36,148,Normal
62,81,71,599,Suspicious
58,99,81,156,Suspicious
7,47,23,177,Normal
86,13,33,239,Suspicious
100,25,65,70,Suspicious
44,25,93,542,Suspicious
2,72,63,533,Suspicious
60,71,54,508,Suspicious
78,97,51,416,Suspicious
24,70,62,337,Suspicious
34,63,29,99,Normal
2,26,37,154,Normal
87,93,81,163,Suspicious
19,80,64,582,Suspicious
51,98,30,572,Suspicious
75,97,65,448,Suspicious
13,33,27,316,Suspicious
22,84,78,436,Suspicious
85,86,70,465,Suspicious
98,97,91,467,Malware
96,89,46,490,Malware
39,82,37,395,Suspicious
97,63,51,271,Suspicious
82,38,87,352,Suspicious
51,70,43,409,Suspicious
32,34,98,584,Suspicious
29,15,38,194,Normal
88,54,25,236,Suspicious
69,97,82,158,Suspicious
79,56,41,513,Suspicious
66,62,53,476,Suspicious
9,82,60,102,Suspicious
81,83,26,485,Suspicious
35,36,94,74,Normal
6,53,35,193,Normal
78,29,72,216,Suspicious
79,81,71,298,Suspicious
99,72,27,541,Suspicious
32,34,25,105,Normal
49,27,88,287,Normal
91,72,72,564,Suspicious
48,91,100,577,Suspicious
34,46,48,321,Suspicious
38,90,59,366,Suspicious
98,17,21,358,Suspicious
92,79,99,505,Suspicious
72,23,58,287,Normal
62,20,72,479,Suspicious
90,53,88,546,Suspicious
40,82,20,253,Suspicious
26,99,94,481,Suspicious
6,80,20,489,Suspicious
95,41,78,118,Suspicious
39,56,43,134,Normal
16,47,33,367,Suspicious
51,53,100,210,Normal
40,43,67,104,Normal
15,94,56,550,Suspicious
13,85,85,393,Suspicious
26,56,92,348,Suspicious
71,92,61,452,Suspicious
61,65,31,175,Normal
54,64,68,467,Suspicious
62,68,42,436,Suspicious
61,67,72,324,Suspicious
50,35,91,561,Suspicious
36,66,83,395,Suspicious
47,42,49,505,Suspicious
8,35,97,234,Normal
25,45,74,560,Suspicious
86,64,53,416,Suspicious
37,100,43,300,Suspicious
100,40,51,244,Suspicious
9,29,67,491,Suspicious
31,22,63,55,Normal
31,33,44,77,Normal
83,41,60,192,Suspicious
71,82,68,165,Suspicious
94,58,68,250,Suspicious
94,26,86,431,Suspicious
62,20,42,501,Suspicious
96,34,55,192,Suspicious
35,32,88,107,Normal
3,22,90,315,Suspicious
74,49,21,261,Normal
34,23,99,326,Suspicious
11,33,27,514,Suspicious
88,54,28,357,Suspicious
27,80,91,552,Suspicious
12,55,37,552,Suspicious
83,57,57,80,Suspicious
63,80,78,227,Suspicious
48,26,22,469,Suspicious
41,82,47,256,Suspicious
74,43,54,407,Suspicious
18,43,70,442,Suspicious
54,39,100,211,Normal
96,21,51,587,Suspicious
95,27,42,74,Suspicious
23,23,53,219,Normal
57,82,28,593,Suspicious
17,86,36,416,Suspicious
20,40,47,65,Normal
24,100,34,301,Suspicious
47,20,30,148,Normal
52,35,66,81,Normal
51,11,46,150,Normal
33,50,20,255,Normal
100,58,70,551,Suspicious
58,64,30,528,Suspicious
53,68,61,135,Normal
94,91,89,129,Suspicious
40,13,48,109,Normal
83,16,62,164,Suspicious
64,88,69,101,Suspicious
12,94,47,143,Suspicious
96,39,53,301,Suspicious
86,13,44,251,Suspicious
94,75,95,83,Suspicious
45,13,26,238,Normal
61,10,58,160,Normal
94,81,53,367,Suspicious
80,62,54,489,Suspicious
30,84,52,545,Suspicious
40,33,84,68,Normal
29,24,93,548,Suspicious
48,42,63,519,Suspicious
78,82,89,317,Suspicious
81,68,58,489,Suspicious
92,22,96,156,Suspicious
76,66,37,340,Suspicious
6,59,61,71,Normal
1,69,88,403,Suspicious
1,21,44,343,Suspicious
22,79,42,221,Suspicious
63,72,35,108,Normal
52,76,78,268,Suspicious
92,40,63,146,Suspicious
66,35,34,176,Normal
27,88,47,285,Suspicious
36,34,83,205,Normal
21,19,60,240,Normal
41,56,50,342,Suspicious
90,53,86,476,Suspicious
15,49,50,466,Suspicious
97,29,55,451,Suspicious
99,52,69,530,Suspicious
28,99,93,495,Suspicious
8,89,37,297,Suspicious
31,13,96,175,Normal
39,13,41,191,Normal
15,79,96,207,Suspicious
86,45,24,464,Suspicious
41,38,100,147,Normal
44,17,57,321,Suspicious
11,53,44,448,Suspicious
66,30,35,419,Suspicious
71,40,62,278,Normal
24,21,72,261,Normal
26,78,79,442,Suspicious
25,34,26,411,Suspicious
76,43,79,274,Suspicious
47,86,23,180,Suspicious
84,32,31,159,Suspicious
84,78,70,478,Suspicious
72,68,55,404,Suspicious
83,48,60,347,Suspicious
85,22,35,485,Suspicious
92,25,65,516,Suspicious
67,22,28,425,Suspicious
43,59,23,559,Suspicious
41,18,37,352,Suspicious
74,87,94,193,Suspicious
65,66,39,185,Normal
25,59,36,387,Suspicious
11,59,61,254,Normal
20,75,97,265,Normal
86,53,64,135,Suspicious
69,50,63,487,Suspicious
17,28,32,507,Suspicious
66,60,67,469,Suspicious
84,86,63,586,Suspicious
4,39,48,296,Normal
67,56,39,309,Suspicious
45,99,42,239,Suspicious
64,22,80,161,Normal
63,36,89,396,Suspicious
63,81,28,151,Suspicious
91,58,64,137,Suspicious
96,74,64,364,Suspicious
52,10,64,152,Normal
18,61,91,235,Normal
3,14,60,478,Suspicious
38,30,87,362,Suspicious
46,98,32,406,Suspicious
84,51,31,68,Suspicious
87,100,61,180,Suspicious
14,71,69,196,Normal
18,15,45,370,Suspicious
69,100,22,427,Suspicious
78,92,30,262,Suspicious
96,62,29,559,Suspicious
38,74,59,251,Normal
33,23,91,517,Suspicious
20,59,49,528,Suspicious
99,55,34,296,Suspicious
15,86,30,78,Suspicious
22,58,56,182,Normal
41,61,89,570,Suspicious
61,92,49,360,Suspicious
53,28,68,264,Normal
6,99,62,245,Suspicious
98,87,38,51,Suspicious
36,51,83,488,Suspicious
80,62,39,420,Suspicious
22,42,88,455,Suspicious
74,83,54,392,Suspicious
91,100,61,195,Suspicious
19,49,79,485,Suspicious
23,54,62,57,Normal
64,92,54,82,Suspicious
23,21,84,275,Normal
3,86,29,589,Suspicious
45,25,82,180,Normal
43,95,71,89,Suspicious
62,23,45,232,Normal
45,29,75,132,Normal
67,95,37,473,Suspicious
2,85,70,263,Suspicious
7,52,24,90,Normal
75,30,98,268,Normal
62,59,39,356,Suspicious
25,49,27,522,Suspicious
98,24,59,485,Suspicious
82,87,33,516,Suspicious
99,57,84,437,Suspicious
77,24,54,436,Suspicious
20,56,89,144,Normal
12,38,87,403,Suspicious
68,19,59,497,Suspicious
58,71,82,449,Suspicious
80,55,86,446,Suspicious
81,74,99,54,Suspicious
74,48,61,172,Normal
66,67,67,335,Suspicious
2,10,50,486,Suspicious
24,52,95,87,Normal
15,91,53,97,Suspicious
29,62,84,371,Suspicious
48,41,20,69,Normal
58,66,81,211,Normal
20,12,100,395,Suspicious
91,25,84,77,Suspicious
26,67,64,462,Suspicious
66,80,39,102,Suspicious
3,86,33,185,Suspicious
16,95,52,265,Suspicious
61,40,69,372,Suspicious
32,59,98,373,Suspicious
71,58,79,303,Suspicious
6,81,62,373,Suspicious
64,50,90,178,Normal
45,11,29,151,Normal
71,31,22,354,Suspicious
17,96,98,347,Suspicious
11,31,67,506,Suspicious
41,78,59,267,Suspicious
76,17,90,122,Suspicious
84,39,20,222,Suspicious
18,84,21,314,Suspicious
92,85,77,501,Suspicious
13,100,98,217,Suspicious
69,26,63,293,Normal
72,63,82,152,Normal
26,47,38,557,Suspicious
53,86,87,101,Suspicious
65,26,63,96,Normal
41,29,85,420,Suspicious
25,56,82,218,Normal
25,52,80,458,Suspicious
47,43,48,367,Suspicious
4,69,84,139,Normal
53,18,46,437,Suspicious
52,26,58,160,Normal
82,75,87,277,Suspicious
96,55,93,136,Suspicious
93,78,98,347,Suspicious
86,61,22,515,Suspicious
35,98,85,185,Suspicious
98,100,22,220,Suspicious
72,53,74,265,Normal
40,86,30,515,Suspicious
40,84,100,298,Suspicious
30,33,54,491,Suspicious
9,41,67,71,Normal
50,18,52,447,Suspicious
24,99,65,229,Suspicious
29,46,76,407,Suspicious
8,39,48,79,Normal
34,80,61,279,Suspicious
26,39,76,222,Normal
77,93,31,435,Suspicious
83,95,29,576,Suspicious
42,84,58,259,Suspicious
56,26,20,120,Normal
7,56,77,398,Suspicious
65,87,99,83,Suspicious
36,22,67,122,Normal
69,55,93,224,Normal
48,74,87,61,Normal
59,23,91,237,Normal
77,30,31,178,Suspicious
86,56,21,245,Suspicious
20,23,52,240,Normal
33,58,48,348,Suspicious
24,14,99,266,Normal
93,97,53,175,Suspicious
90,86,22,109,Suspicious
26,12,55,158,Normal
30,82,91,454,Suspicious
39,67,26,544,Suspicious
24,54,72,366,Suspicious
91,13,40,181,Suspicious
29,91,81,326,Suspicious
72,17,51,218,Normal
20,67,66,495,Suspicious
6,49,91,248,Normal
84,19,39,183,Suspicious
36,93,61,68,Suspicious
16,65,80,550,Suspicious
71,42,27,440,Suspicious
8,81,68,590,Suspicious
59,19,90,360,Suspicious
21,99,59,281,Suspicious
98,71,61,245,Suspicious
37,23,26,387,Suspicious
45,46,95,332,Suspicious
57,79,28,484,Suspicious
58,18,57,581,Suspicious
35,57,72,140,Normal
29,42,78,497,Suspicious
34,39,71,429,Suspicious
46,28,76,461,Suspicious
34,88,42,192,Suspicious
34,48,66,462,Suspicious
56,88,96,182,Suspicious
57,63,49,402,Suspicious
4,43,84,411,Suspicious
42,53,41,185,Normal
93,16,82,299,Suspicious
2,69,87,421,Suspicious
75,72,60,329,Suspicious
67,75,43,502,Suspicious
21,100,40,169,Suspicious
54,28,42,533,Suspicious
28,20,28,226,Normal
99,88,31,251,Suspicious
12,52,54,185,Normal
50,44,84,169,Normal
82,23,42,549,Suspicious
82,45,73,583,Suspicious
1,66,21,512,Suspicious
15,91,64,193,Suspicious
17,62,61,497,Suspicious
4,33,51,97,Normal
21,80,22,79,Suspicious
94,100,60,389,Suspicious
15,38,53,143,Normal
24,20,32,488,Suspicious
70,14,26,240,Normal
39,82,70,113,Suspicious
49,77,77,60,Suspicious
23,15,67,144,Normal
16,55,92,90,Normal
38,35,25,357,Suspicious
84,53,51,512,Suspicious
95,73,93,486,Suspicious
94,15,94,321,Suspicious
35,73,20,543,Suspicious
51,74,94,233,Normal
86,40,92,462,Suspicious
21,40,70,155,Normal
29,90,100,147,Suspicious
34,98,64,579,Suspicious
80,64,70,144,Suspicious
41,24,100,199,Normal
78,39,45,493,Suspicious
51,26,39,171,Normal
37,30,37,373,Suspicious
18,33,74,130,Normal
57,84,57,449,Suspicious
95,15,69,463,Suspicious
60,45,38,535,Suspicious
70,15,90,353,Suspicious
16,83,63,210,Suspicious
15,23,53,157,Normal
98,99,43,218,Suspicious
51,56,56,72,Normal
38,81,52,151,Suspicious
38,23,41,465,Suspicious
43,78,64,442,Suspicious
99,46,72,391,Suspicious
24,98,27,447,Suspicious
29,63,21,489,Suspicious
91,100,72,138,Suspicious
31,14,73,63,Normal
50,99,81,344,Suspicious
38,58,20,169,Normal
46,65,50,366,Suspicious
34,100,66,455,Suspicious
92,72,41,69,Suspicious
19,50,29,193,Normal
79,85,99,331,Suspicious
86,57,43,335,Suspicious
51,24,24,252,Normal
47,37,66,393,Suspicious
79,39,23,433,Suspicious
17,76,70,183,Suspicious
7,24,80,175,Normal
30,49,46,59,Normal
68,18,71,418,Suspicious
40,74,45,186,Normal
49,17,64,188,Normal
3,81,92,105,Suspicious
92,80,62,382,Suspicious
2,53,33,472,Suspicious
71,97,73,532,Suspicious
14,53,67,321,Suspicious
18,70,89,243,Normal
81,21,59,197,Suspicious
6,95,28,315,Suspicious
59,65,71,488,Suspicious
67,92,93,502,Suspicious
99,26,47,503,Suspicious
18,96,26,120,Suspicious
90,83,41,138,Suspicious
37,33,45,171,Normal
87,35,21,407,Suspicious
15,31,33,72,Normal
51,77,51,367,Suspicious
11,59,58,407,Suspicious
82,29,100,149,Suspicious
42,32,79,59,Normal
4,68,74,494,Suspicious
92,72,79,490,Suspicious
15,40,71,292,Normal
35,70,100,472,Suspicious
26,74,51,313,Suspicious
40,84,40,183,Suspicious
64,86,74,285,Suspicious
9,89,79,590,Suspicious
5,88,38,541,Suspicious
52,28,55,469,Suspicious
35,22,64,90,Normal
53,83,54,497,Suspicious
30,38,86,106,Normal
59,28,35,53,Normal
39,64,63,95,Normal
81,64,68,274,Suspicious
73,32,89,337,Suspicious
58,73,32,97,Normal
8,82,82,74,Suspicious
46,49,29,553,Suspicious
82,66,27,571,Suspicious
40,57,96,519,Suspicious
7,81,36,546,Suspicious
2,45,30,595,Suspicious
11,32,39,231,Normal
91,46,97,507,Suspicious
33,96,97,547,Suspicious
62,23,94,368,Suspicious
36,78,27,292,Suspicious
5,90,93,128,Suspicious
23,23,95,452,Suspicious
96,39,34,234,Suspicious
27,62,67,211,Normal
75,19,67,169,Normal
8,79,77,156,Suspicious
66,11,77,369,Suspicious
80,54,33,495,Suspicious
18,13,21,150,Normal
37,66,23,202,Normal
72,69,48,241,Normal
28,42,90,191,Normal
73,62,40,423,Suspicious
79,51,37,231,Suspicious
33,58,92,378,Suspicious
9,32,74,463,Suspicious
54,73,71,242,Normal
29,24,78,59,Normal
67,51,39,194,Normal
51,23,47,365,Suspicious
11,56,64,576,Suspicious
87,65,70,473,Suspicious
2,72,36,300,Normal
31,49,45,506,Suspicious
74,59,91,336,Suspicious
100,12,30,536,Suspicious
54,90,43,526,Suspicious
13,30,49,107,Normal
27,81,24,329,Suspicious
29,80,78,494,Suspicious
70,90,76,87,Suspicious
76,82,38,512,Suspicious
94,61,31,174,Suspicious
70,43,33,389,Suspicious
76,81,89,357,Suspicious
24,11,48,441,Suspicious
21,39,54,574,Suspicious
19,20,62,500,Suspicious
50,74,41,335,Suspicious
33,50,70,370,Suspicious
28,85,23,332,Suspicious
33,15,48,442,Suspicious
53,32,39,525,Suspicious
44,81,37,393,Suspicious
72,14,44,89,Normal
62,31,56,428,Suspicious
64,66,48,349,Suspicious
25,23,44,291,Normal
75,91,98,243,Suspicious
84,91,86,81,Suspicious
5,61,53,472,Suspicious
94,93,24,558,Malware
49,55,61,286,Normal
89,32,78,450,Suspicious
7,38,22,454,Suspicious
48,79,38,510,Suspicious
5,49,48,457,Suspicious
100,30,93,595,Suspicious
79,100,83,407,Suspicious
67,82,38,516,Suspicious
29,85,52,507,Suspicious
83,25,23,583,Suspicious
27,41,84,426,Suspicious
48,56,64,585,Suspicious
69,64,78,519,Suspicious
37,98,58,410,Suspicious
56,57,39,50,Normal
81,81,85,592,Suspicious
86,39,88,401,Suspicious
30,81,65,92,Suspicious
66,24,42,205,Normal
73,92,94,300,Suspicious
3,94,85,503,Suspicious
99,32,93,124,Suspicious
77,82,28,573,Suspicious
68,27,95,357,Suspicious
69,14,61,428,Suspicious
17,71,32,562,Suspicious
68,16,42,319,Suspicious
46,20,37,462,Suspicious
54,56,47,93,Normal
91,80,53,306,Suspicious
41,84,54,179,Suspicious
36,100,51,333,Suspicious
68,67,55,83,Normal
12,58,85,521,Suspicious
54,57,90,546,Suspicious
76,60,25,445,Suspicious
46,100,83,510,Suspicious
61,55,89,286,Normal
14,38,27,263,Normal
76,88,54,570,Suspicious
73,91,43,573,Suspicious
60,94,46,327,Suspicious
10,81,71,179,Suspicious
95,94,72,306,Suspicious
59,62,61,66,Normal
56,85,70,60,Suspicious
55,46,94,376,Suspicious
99,80,70,182,Suspicious
92,94,30,437,Suspicious
79,19,21,120,Suspicious
31,35,66,290,Normal
91,53,80,464,Suspicious
9,60,99,433,Suspicious
79,48,28,174,Suspicious
88,46,79,226,Suspicious
12,16,68,151,Normal
91,10,100,527,Suspicious
84,74,84,495,Suspicious
13,53,98,533,Suspicious
64,28,58,385,Suspicious
72,48,67,224,Normal
5,70,97,412,Suspicious
40,28,46,441,Suspicious
91,31,91,125,Suspicious
48,13,67,492,Suspicious
40,29,74,98,Normal
8,89,73,444,Suspicious
53,42,81,157,Normal
39,92,50,297,Suspicious
83,25,39,152,Suspicious
70,34,63,515,Suspicious
3,49,94,236,Normal
30,49,78,147,Normal
66,78,90,180,Suspicious
83,43,80,551,Suspicious
24,29,29,350,Suspicious
84,18,43,520,Suspicious
72,54,49,467,Suspicious
100,50,97,102,Suspicious
33,61,47,454,Suspicious
97,21,63,255,Suspicious
65,89,59,122,Suspicious
91,34,71,347,Suspicious
80,38,69,124,Suspicious
79,40,21,180,Suspicious
21,28,56,387,Suspicious
39,80,56,473,Suspicious
10,72,26,269,Normal
89,73,56,343,Suspicious
77,31,45,279,Suspicious
67,73,31,206,Normal
97,20,57,406,Suspicious
93,66,47,333,Suspicious
38,19,39,254,Normal
77,73,86,196,Suspicious
65,100,85,523,Suspicious
45,32,26,133,Normal
93,22,21,411,Suspicious
93,35,71,317,Suspicious
84,50,50,288,Suspicious
37,49,52,319,Suspicious
68,65,91,446,Suspicious
91,21,60,368,Suspicious
3,47,26,467,Suspicious
98,23,68,290,Suspicious
48,35,35,462,Suspicious
26,27,94,589,Suspicious
24,68,60,433,Suspicious
97,64,35,440,Suspicious
93,18,87,574,Suspicious
91,12,61,263,Suspicious
35,88,58,169,Suspicious
64,30,60,338,Suspicious
87,78,30,306,Suspicious
58,86,52,205,Suspicious
51,46,25,126,Normal
41,96,40,95,Suspicious
38,93,76,357,Suspicious
42,72,67,311,Suspicious
89,34,85,85,Suspicious
26,98,27,66,Suspicious
86,11,61,156,Suspicious
16,13,33,420,Suspicious
89,20,26,591,Suspicious
68,97,41,354,Suspicious
27,42,27,293,Normal
75,83,94,299,Suspicious
53,10,27,331,Suspicious
85,64,23,311,Suspicious
61,26,35,182,Normal
65,49,64,582,Suspicious
92,40,34,572,Suspicious
34,71,28,109,Normal
